step,epoch,train_f1_mikro,train_loss,val_loss,val_f1_mikro
49,0,0.04599406570196152,0.6891809701919556,,
99,0,0.039881832897663116,0.6888744235038757,,
126,0,,,0.6886001229286194,0.0400802418589592
149,1,0.051166292279958725,0.6885779500007629,,
199,1,0.04454685002565384,0.6873917579650879,,
249,1,0.03987729921936989,0.6877757906913757,,
253,1,,,0.6872215867042542,0.04010913893580437
299,2,0.054794520139694214,0.6862242221832275,,
349,2,0.05016181245446205,0.6855297088623047,,
380,2,,,0.6858513355255127,0.04143165796995163
