step,epoch,train_f1_mikro,train_loss,val_loss,val_f1_mikro
49,0,0.065717414021492,0.7045832872390747,,
99,0,0.060706403106451035,0.7044816613197327,,
126,0,,,0.7039457559585571,0.06463071703910828
149,1,0.06128133833408356,0.7040240168571472,,
199,1,0.06935123354196548,0.7032439112663269,,
249,1,0.06207675114274025,0.7027649879455566,,
253,1,,,0.7030764222145081,0.06469603627920151
299,2,0.07528089731931686,0.702602207660675,,
349,2,0.06900452822446823,0.7023553252220154,,
380,2,,,0.7022277116775513,0.06649845838546753
