step,epoch,train_f1_mikro,train_loss,val_loss,val_f1_mikro
49,0,0.09125475585460663,0.6891189217567444,,
99,0,0.10597015172243118,0.6886628270149231,,
126,0,,,0.6887726187705994,0.08898867666721344
149,1,0.10357958823442459,0.6881105899810791,,
199,1,0.08455034345388412,0.688287079334259,,
249,1,0.07722007483243942,0.6882303357124329,,
253,1,,,0.687873899936676,0.0890486016869545
299,2,0.07555898278951645,0.6878681182861328,,
349,2,0.10395655781030655,0.6866663694381714,,
380,2,,,0.6870101690292358,0.092376708984375
