threshold,f1_scores_avg,f1_scores_std
0.05,0.35308964548975047,0.004858622444670205
0.0875,0.4346937116305104,0.006113672171128775
0.125,0.4903117239883324,0.00431402785528976
0.16249999999999998,0.5290319847940987,0.005450531210617995
0.2,0.5482786622519337,0.003714941407925741
0.2375,0.5545811875696083,0.006646240722370698
0.27499999999999997,0.5429251143306177,0.005823757469576848
0.3125,0.512146491897219,0.0082386921092208
0.35,0.4797927823516087,0.009587518967273011
0.38749999999999996,0.4265406170497969,0.005525447910886294
0.425,0.36569957372785183,0.010285928081323439
0.46249999999999997,0.2986128673294202,0.009475818170105168
0.49999999999999994,0.253997849100503,0.007485060132770542
0.5375,0.19913576225570923,0.012283699722973997
0.5750000000000001,0.14428795931228686,0.011553341872883049
0.6125,0.09776540856563745,0.0076207793653772695
0.65,0.07528002870216541,0.009447854756535281
0.6875,0.044009227066463645,0.006648489559190889
0.725,0.023920811814519344,0.00725367110972987
0.7625000000000001,0.010571550220159449,0.0025991126739315813
0.8,0.005701807591495668,0.002312696143489754
0.8375,0.0015270653034106375,0.0012360304489776514
0.875,0.000306671253970906,0.0002504239451319239
0.9125,0.0,0.0
0.95,0.0,0.0
