,threshold,accuracy,precision,recall,f1_mikro,f1_makro,model
1,0.15,0.0,0.23041202296521446,0.7060802069857697,0.34744414030173787,0.0389489868029089,Simple CNN
6,0.5,0.0035407182599898838,0.24835609509357612,0.2540750323415265,0.25118301573091184,0.013821185220521191,Complex CNN
3,0.25,0.0,0.03759639107679285,0.9423027166882277,0.07230781448538756,0.05443250891876143,Deep CNN
